linear velocity x,linear velocity y,angular velocity z
0.5,0.0638665347999758,0.5535063794065797
0.9499999999995454,0.06848431621726,0.5441315102955744
0.9970107017428944,0.07471493618526778,0.5489069286012945
0.9908649582255047,0.07178721724713547,0.5544893564318465
0.9970054931087752,0.0669716974315352,0.5658583244592267
0.988086724758179,0.06682870742554718,0.5627776386807074
0.985169175592371,0.0863665918577475,0.5382524803790768
0.9910261752445599,0.1139891269491932,0.5161168095560413
0.9970241364952399,0.11548200727669414,0.5142913577437408
0.9879679387961717,0.0941438055786336,0.5374858041071553
0.9846992945648252,0.08077574425337185,0.5518252389921403
0.9910035254785281,0.07512373774271255,0.5643955869021046
0.9909352578417947,0.0755208680279651,0.5783928814558481
0.9969927864837063,0.06701911566782848,0.5846089389490843
0.9972662618920063,0.06587218367519385,0.5818968951338475
0.9899980545708076,0.06772605767661168,0.5748096988081028
0.9970048361042262,0.08062998511064426,0.569561462880708
0.990822513623002,0.08008827541517748,0.5537728287966777
0.9908749453914678,0.07087362194873856,0.5572940849382283
0.9970069764519651,0.06578201382310112,0.5579711892585845
0.9938748336327219,0.0728607534093137,0.5645181978555042
0.9909342283054254,0.06548991427369098,0.5608583480206046
0.9969929592018891,0.06678594489654872,0.5614170864850966
0.9931644986606913,0.06488252284639123,0.5554594845798853
0.991781181371378,0.07015547365606951,0.5501713371825729
0.9970032884155814,0.07107589719166311,0.5623063384425251
0.9817095221804443,0.06836707278806914,0.5902841024343913
0.9969936500723474,0.0638665347999758,0.5890264912874317
0.9969881197109538,0.0638665347999758,0.5877860144177612
0.9909731203374543,0.0638665347999758,0.5842535653759614
1.0,0.06563616070079754,0.5725601955330574
0.9886028560359754,0.0638665347999758,0.5577053045423382
0.993162711274318,0.07237646783985648,0.5561498251939296
0.9910050833285367,0.0660867442962763,0.5566621954301628
0.9940060891561603,0.06909200545975572,0.5510748756810111
1.0,0.07101246233535072,0.5574906404261072
0.9970123002315394,0.06590128361933013,0.5519914126472707
0.9909914419920991,0.07475476451969933,0.5485058150207882
0.9940158121630311,0.07836216643125914,0.5554007708238287
0.9909767237079283,0.07553848268333045,0.556506666507569
0.9970114332542619,0.06624282962466344,0.5531811808090024
0.9908795952301295,0.07696973676296714,0.5530707349444024
0.9879425255437613,0.07401211549637297,0.5525716600019941
0.990956099146453,0.06937204595170388,0.5629347224613105
0.9818940290359894,0.07756163266826616,0.5631163661214555
0.9910249188059168,0.07057138716051917,0.5554318169870457
0.9908572976731904,0.06576805364721447,0.5519980821303672
0.9844221702178693,0.07245435565466139,0.5551005858865219
0.9678898363919304,0.06880299926985693,0.5593112212080849
0.798754621900525,0.06748846640381127,0.554945043420787
0.6396983226032745,0.059852061015890384,0.45233190557567127
