panda_joint1 effort,panda_joint2 effort,panda_joint3 effort,panda_joint4 effort,panda_joint5 effort,panda_joint6 effort,panda_joint7 effort,panda_finger_joint1 effort,panda_finger_joint2 effort,panda_joint1 position,panda_joint2 position,panda_joint3 position,panda_joint4 position,panda_joint5 position,panda_joint6 position,panda_joint7 position,panda_finger_joint1 position,panda_finger_joint2 position,panda_joint1 velocity,panda_joint2 velocity,panda_joint3 velocity,panda_joint4 velocity,panda_joint5 velocity,panda_joint6 velocity,panda_joint7 velocity,panda_finger_joint1 velocity,panda_finger_joint2 velocity
0.5003112107804616,0.4921560162986881,0.501900005675507,0.5041583001346923,0.5037070908532519,0.0,0.0,0.4987278688024112,0.49736099172248577,0.5028364524882918,0.9999853493999178,0.5006461819780664,0.00021044347001186736,0.5001482629655214,0.997102549993319,0.997102549993319,0.48977256378910866,0.9995630594725428,0.5061413125314608,0.36965219118471015,0.31269274475456654,0.5958428676735052,0.1597627077816769,0.0,0.0,0.6243899012028953,0.02100146294674854
0.5009183611151525,0.49217360214849326,0.5033086236220782,0.5043435303969187,0.5045203958900707,0.0,0.0,0.49897197572384755,0.4982776452008696,0.5028360743944817,0.9999855204647259,0.5006505284949038,0.00021110575373550766,0.5001482361918748,0.9970962409450843,0.9970962409450843,0.48977543790822686,0.9995630232049395,0.5071846005240674,0.36853210567799266,0.3118409000030932,0.5896387641537095,0.16838111298585906,0.0,0.0,0.6195780160295347,0.020924573092236054
0.5014321426498828,0.49215157373364604,0.5020037678963991,0.5036548690949025,0.5038055965472054,0.0,0.0,0.49932121863729545,0.4977667214729002,0.5028358794840311,0.9999849564277148,0.5006463790866521,0.00021094936133203568,0.5001477974776326,0.9971259812223427,0.9971259812223427,0.48977447368689236,0.9995634737737941,0.5078951642379225,0.3707859780364826,0.3115577943290096,0.5923195496238707,0.1726812761303852,0.0,0.0,0.617543101154837,0.020909827097170375
0.4994853377223808,0.49254075319929586,0.502699313916831,0.5039865658826076,0.5051904376259624,0.0,0.0,0.499107574358277,0.49733464838486463,0.5028363250731537,0.9999849276467583,0.5006471283515235,0.00021056920829742864,0.5001488749154174,0.9971034292429932,0.9971034292429932,0.48977514398242067,0.9995624795434758,0.506474036810113,0.3707859780364826,0.3127256052344595,0.5944641779999995,0.1563237774037261,0.0,0.0,0.6177573027205094,0.02130796908102961
0.5007436320262754,0.49238103574058295,0.5027393317729133,0.5041036334433039,0.5047317186339525,0.0,0.0,0.4987276373676248,0.49807127261348044,0.5028360681227448,0.9999857489972068,0.5006463189474101,0.0002104420402733176,0.500147317999903,0.9971147400705713,0.9971147400705713,0.4897741972405893,0.9995633566128089,0.5071582833494876,0.36853210567799266,0.3132210401643957,0.5971449634701607,0.17883642221393592,0.0,0.0,0.6196851168123708,0.020777113102550704
0.5011012646195451,0.49243820593240767,0.5029700249697139,0.5042241309203357,0.5033243200283051,0.0,0.0,0.49911709959044864,0.4970031262508431,0.5028364526439075,0.9999850939053161,0.5006485312475247,0.00021109792296591934,0.5001471460069571,0.9970881700776011,0.9970881700776011,0.4897750752320106,0.9995613662656239,0.5061319135404754,0.37035438545874033,0.3115931825381251,0.5944641779999995,0.18246205321886,0.0,0.0,0.6183999074179316,0.021735603060595743
0.5002557935789567,0.4917518687494413,0.503340099279068,0.5040604667073761,0.5044869041211736,0.0,0.0,0.49941824699000426,0.4983848885776528,0.5028325751832847,0.9999779464553775,0.5006410750698603,0.00018876325665684313,0.5001491188112278,0.9970861262305495,0.9970861262305495,0.48980218200349634,0.9995838347008942,0.5094478775386312,0.3562077398811532,0.3162290379513891,0.5644393807341945,0.18802697596106033,0.0,0.0,0.6461390101814148,0.024035978959903392
0.5216725950894464,0.4704506440594763,0.5220130099670152,0.5252281276419324,0.5212467477229001,0.0,0.0,0.4889714058027874,0.4874587605479009,0.5037393398965545,0.998088386977392,0.5012999841705996,0.0018509953604779472,0.5010684799937632,0.9971259812223427,0.9971259812223427,0.4891465840430768,0.999071215562576,0.5483446615798896,0.2779456193226939,0.3795739371355601,0.6628242074945989,0.37495782158591573,0.0,0.0,0.7356752646604151,0.037307378388421686
0.7114165245619651,0.2843916582512775,0.6785981345940101,0.7151613700885916,0.6644109376052754,0.0,0.0,0.40178781157738097,0.39164824159172296,0.5420964649971707,0.9199440134844172,0.5387861856015266,0.07950912241920216,0.5400721510826274,0.9989661972563255,0.9989661972563255,0.45332724818751347,0.9765698118281326,0.5863466616851346,0.3441231477406297,0.7039068692500293,0.9673614369049055,0.822259677246856,0.0,0.0,0.6222555356012494,0.011634593496733903
0.931552002662214,0.06410422570440871,0.8676220396159442,0.9376274021888077,0.8368551300516041,0.0,0.0,0.3010119723234852,0.27674397991553223,0.6505993380965022,0.6987539526596707,0.6481901789099365,0.29994390232694057,0.6508465040008334,0.9995691085372738,0.9995691085372738,0.3507303237322714,0.9117591673214367,0.5776619940710972,0.6256174171550417,0.7454526107932005,0.8280946317272888,0.8372681103225308,0.0,0.0,0.7247509848078836,0.05096217380015755
